Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,isdal bundle list (product.metafields.custom.isdal_bundle_list),Product Size Chart (product.metafields.custom.product_size_chart),Suggested Products (product.metafields.custom.suggested_products),You May Also Like (product.metafields.custom.you_may_also_like),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
high-neck-top,هاي كول تريكو مضلع,"<div style=""direction: rtl; text-align: right; font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Arial, sans-serif; max-width: 100%; background: #fff;"" class=""wind-tabs-container"">
  
  <details style=""border: none; border-bottom: 1px solid #e5e7eb; padding: 0; background: #fff;"" open="""">
    <summary style=""cursor: pointer; font-weight: 600; color: #111827; list-style: none; display: flex; justify-content: space-between; align-items: center; padding: 20px 0; font-size: 15px;"">
      <span>عن المنتج</span>
      <svg style=""transition: transform 0.3s ease;"" fill=""none"" viewbox=""0 0 16 16"" height=""16"" width=""16""><path stroke-linejoin=""round"" stroke-linecap=""round"" stroke-width=""2"" stroke=""#6b7280"" d=""M4 6L8 10L12 6""></path></svg>
    </summary>
    <div style=""padding: 0 0 24px 0; color: #6b7280; line-height: 1.7; font-size: 14px;"">
      <p style=""margin: 0;"">يقدم لكِ <span style=""color: #800020; font-weight: 700;"">ويند</span> هذا البلوفر الهاي كول بتصميمه المضلع (Ribbed) الذي يجمع بين الدفء والأناقة الهادئة. صُمم ليكون قطعة أساسية لا غنى عنها في خزانتكِ الشتوية، بفضل طوله المناسب وقصته التي توفر لكِ مظهراً مرتباً ومحتشماً في آن واحد، مما يجعله مثالياً كقطعة منفردة أو كطبقة أساسية تحت الجواكت والبالطوهات.</p>
      <details style=""margin-top: 10px;"" class=""read-more-wrapper"">
        <summary style=""list-style: none; color: #111827; font-weight: 600; cursor: pointer; text-decoration: underline; font-size: 13px; display: inline-block;""><span class=""more-text"">اقرأ المزيد</span><span class=""less-text"">عرض أقل</span></summary>
        <div style=""margin-top: 10px; animation: slideDown 0.3s ease;"">
          يتميز البلوفر بنسيج تريكو صوفي ناعم ومرن، مع رقبة عالية تضمن لكِ تدفئة كاملة وأسلوباً كلاسيكياً راقياً. تضفي الخطوط المضلعة الطولية لمسة من الفخامة البصرية، كما تضمن الأساور المحكمة بقاء الدفء طوال اليوم. بفضل مرونة الخامة، يوفر البلوفر راحة تامة في الحركة مع الحفاظ على مظهره الوقور الذي يعكس ذوقكِ الرفيع مع <span style=""color: #800020; font-weight: 700;"">ويند</span>.
        </div>
      </details>
    </div>
  </details>

  <details style=""border: none; border-bottom: 1px solid #e5e7eb; padding: 0; background: #fff;"">
    <summary style=""cursor: pointer; font-weight: 600; color: #111827; list-style: none; display: flex; justify-content: space-between; align-items: center; padding: 20px 0; font-size: 15px;""><span>الخامة والمواصفات</span><svg style=""transition: transform 0.3s ease;"" fill=""none"" viewbox=""0 0 16 16"" height=""16"" width=""16""><path stroke-linejoin=""round"" stroke-linecap=""round"" stroke-width=""2"" stroke=""#6b7280"" d=""M4 6L8 10L12 6""></path></svg></summary>
    <div style=""padding: 0 0 24px 0;"">
      <div style=""padding: 16px 0; border-bottom: 1px solid #f3f4f6; display: flex; align-items: flex-start;"">
        <div style=""font-weight: 500; color: #111827; min-width: 120px; font-size: 14px;"">الخامة:</div>
        <div style=""color: #6b7280; font-size: 14px; flex: 1;"">تريكو صوف ناعم مضلع (Ribbed Knit)</div>
      </div>
      <div style=""padding: 16px 0; border-bottom: 1px solid #f3f4f6; display: flex; align-items: flex-start;"">
        <div style=""font-weight: 500; color: #111827; min-width: 120px; font-size: 14px;"">التصميم:</div>
        <div style=""color: #6b7280; font-size: 14px; flex: 1;"">هاي كول (High Neck) طويل بقصة مريحة وأكمام طويلة</div>
      </div>
      <div style=""padding: 16px 0; display: flex; align-items: center;"">
        <div style=""font-weight: 500; color: #111827; min-width: 120px; font-size: 14px;"">المقاس:</div>
        <div style=""color: #6b7280; font-size: 14px; display: flex; align-items: center; flex: 1;"">
          <strong style=""margin-left: 12px; color: #111827;"">One Size</strong><span style=""margin: 0 12px; color: #d1d5db;"">|</span><button style=""background: none; border: none; padding: 0; color: #111827; text-decoration: underline; font-family: inherit; font-size: 14px; cursor: pointer; font-weight: 500;"" type=""button"" onclick=""if(window.openSizeModal) { window.openSizeModal(); } else { openSizeModal(); }"">دليل القياسات</button>
        </div>
      </div>
    </div>
  </details>

  <details style=""border: none; border-bottom: 1px solid #e5e7eb; padding: 0; background: #fff;"">
    <summary style=""cursor: pointer; font-weight: 600; color: #111827; list-style: none; display: flex; justify-content: space-between; align-items: center; padding: 20px 0; font-size: 15px;""><span>الشحن والاستبدال</span><svg style=""transition: transform 0.3s ease;"" fill=""none"" viewbox=""0 0 16 16"" height=""16"" width=""16""><path stroke-linejoin=""round"" stroke-linecap=""round"" stroke-width=""2"" stroke=""#6b7280"" d=""M4 6L8 10L12 6""></path></svg></summary>
    <div style=""padding: 0 0 24px 0; color: #6b7280; font-size: 14px; line-height: 1.8;"">
      • الشحن لجميع المحافظات خلال ٢-٥ أيام عمل.<br>• متاح معاينة المنتج عند الاستلام لضمان الجودة.<br>• استبدال واسترجاع سهل حتى ١٤ يوم من تاريخ الشراء.
    </div>
  </details>

  <details style=""border: none; border-bottom: 1px solid #e5e7eb; padding: 0; background: #fff;"">
    <summary style=""cursor: pointer; font-weight: 600; color: #111827; list-style: none; display: flex; justify-content: space-between; align-items: center; padding: 20px 0; font-size: 15px;""><span>العناية بالمنتج</span><svg style=""transition: transform 0.3s ease;"" fill=""none"" viewbox=""0 0 16 16"" height=""16"" width=""16""><path stroke-linejoin=""round"" stroke-linecap=""round"" stroke-width=""2"" stroke=""#6b7280"" d=""M4 6L8 10L12 6""></path></svg></summary>
    <div style=""padding: 0 0 24px 0; color: #6b7280; line-height: 1.8; font-size: 14px;"">
      للحفاظ على مرونة التريكو المضلع وشكل الهاي كول ينصح بالتالي:<br>
      • يُغسل يدوياً بماء بارد ومنظف لطيف للأصواف لتجنب تمدد الألياف.<br>
      • يُجفف مفروداً على سطح مستوٍ ولا يُعلق وهو مبلل للحفاظ على طوله الأصلي.<br>
      • تجنبي استخدام المبيضات أو المكواة بدرجات حرارة عالية جداً.<br>
      • يُحفظ مطوياً في الخزانة لضمان بقاء الغرز مرنة وبمظهرها الجديد.
    </div>
  </details>

  <style>.read-more-wrapper .less-text { display: none; }.read-more-wrapper[open] .more-text { display: none; }.read-more-wrapper[open] .less-text { display: inline; }.read-more-wrapper summary::-webkit-details-marker { display: none; }.wind-tabs-container details[open] > summary svg { transform: rotate(180deg); }.wind-tabs-container summary:hover { background-color: #f9fafb; transition: 0.2s; } @keyframes slideDown { from { opacity: 0; transform: translateY(-5px); } to { opacity: 1; transform: translateY(0); } }</style>
</div>
",WIND,Apparel & Accessories > Clothing > Clothing Tops > Sweaters,Knitwear,"",true,Color,fuchsia,product.metafields.shopify.color-pattern,One Size,55-95-kg,product.metafields.shopify.size,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_950ea2a2-badb-43c5-8e62-e44dee370b0d.jpg?v=1770297382,1,"",false,هاي كول تريكو مضلع نسائي - بياقة عالية وخامة صوف ناعمة | WIND مصر,"تسوقي هاي كول تريكو مضلع من WIND. خامة صوف ناعمة ودافئة بتصميم كلاسيكي محتشم. قطعة أساسية لا غنى عنها في خزانة الشتاء بألوان جذابة. اطلبيها الآن!""",,,adult,,,,,,,,,,,long-knit-cardigan; knit-wide-pant,,,,,,adults,insulated; stretchable,fuchsia; jeans-blue; beige; clear; green; black; burgundy; rose,,wool,,turtle,,,,55-95-kg,,,female,long,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_89161233-cdb4-4efa-b752-6718bda62476.jpg?v=1770297632,kg,,,active
high-neck-top,,,,,,,,,jeans-blue,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_66a7594b-9f2c-4332-8ef4-ea9d97a97669.jpg?v=1770297382,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_1fe934d1-124e-407c-b5d3-4060b866f988.jpg?v=1770297632,kg,,,
high-neck-top,,,,,,,,,beige,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_8c58349f-ff14-4309-9bf4-7942ce83f2c1.jpg?v=1770297381,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_31eebaed-7aac-45eb-9e08-99fac5e62b3c.jpg?v=1770297632,kg,,,
high-neck-top,,,,,,,,,clear,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_56cd4672-46c1-40c1-8fdb-9419fbec234f.jpg?v=1770297632,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_56cd4672-46c1-40c1-8fdb-9419fbec234f.jpg?v=1770297632,kg,,,
high-neck-top,,,,,,,,,green,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_31eebaed-7aac-45eb-9e08-99fac5e62b3c.jpg?v=1770297632,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_1c4deb37-50a5-4db6-b604-9fd931b8b3f9.jpg?v=1770297632,kg,,,
high-neck-top,,,,,,,,,black,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_1c4deb37-50a5-4db6-b604-9fd931b8b3f9.jpg?v=1770297632,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_66a7594b-9f2c-4332-8ef4-ea9d97a97669.jpg?v=1770297382,kg,,,
high-neck-top,,,,,,,,,burgundy,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_1fe934d1-124e-407c-b5d3-4060b866f988.jpg?v=1770297632,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_950ea2a2-badb-43c5-8e62-e44dee370b0d.jpg?v=1770297382,kg,,,
high-neck-top,,,,,,,,,rose,,,55-95-kg,,,,,,0.0,,0,deny,manual,400.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_89161233-cdb4-4efa-b752-6718bda62476.jpg?v=1770297632,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_8c58349f-ff14-4309-9bf4-7942ce83f2c1.jpg?v=1770297381,kg,,,
high-neck-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_b3e8937f-8a0b-4195-8ea1-4ea594496ef1.jpg?v=1770297632,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-neck-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/2726/9319/files/rn-image_picker_lib_temp_feea7ced-fcab-4bcd-b58c-c9d9358fe548.jpg?v=1770297632,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
